"CÓDIGO
DO FUNDO",SETOR,PREÇO ATUAL,LIQUIDEZ DIÁRIA,DIVIDENDO,"DIVIDEND
YIELD","DY (3M)
ACUMULADO","DY (6M)
ACUMULADO","DY (12M)
ACUMULADO","DY (3M)
MÉDIA","DY (6M)
MÉDIA","DY (12M)
MÉDIA",DY ANO,VARIAÇÃO PREÇO,"RENTAB.
PERÍODO","RENTAB.
ACUMULADA","PATRIMÔNIO
LÍQ.",VPA,P/VPA,"DY
PATRIMONIAL","VARIAÇÃO
PATRIMONIAL","RENTAB. PATR.
NO PERÍODO","RENTAB. PATR.
ACUMULADA","VACÂNCIA
FÍSICA","VACÂNCIA
FINANCEIRA","QUANTIDADE
ATIVOS"
XPML11,Shoppings,"R$ 104,95", 37601.0 ,"R$ 0,70","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,05","0,11","0,12","0,16","R$ 1.907.854.902,08","R$ 102,12","1,03",N/A,N/A,N/A,N/A,"0,04",N/A,16
RZAK11,Títulos e Val. Mob.,"R$ 101,75", 10266.0 ,"R$ 1,50","0,02","0,05","0,09","0,16","0,02","0,02","0,01","0,11","0,00","0,02","0,16","R$ 323.459.849,34","R$ 95,05","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
RBLG11,Logística,"R$ 98,25", 6.0 ,"R$ 0,88","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,06","0,09","0,10","0,16","R$ 66.371.773,28","R$ 103,67","0,95",N/A,N/A,N/A,N/A,"0,00",N/A,1
NSLU11,Hospital,"R$ 179,84", 3089.0 ,"R$ 0,85","0,01","0,02","0,04","0,09","0,01","0,01","0,01","0,02","0,12","0,13","0,14","R$ 251.494.605,37","R$ 194,46","0,92",N/A,N/A,N/A,N/A,"0,00",N/A,1
EVBI11,Híbrido,"R$ 100,00", 861.0 ,"R$ 0,75","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,05","0,01","0,02","0,12","R$ 139.909.108,47","R$ 100,09",1,N/A,N/A,N/A,N/A,"0,00",N/A,4
MAXR11,Outros,"R$ 82,50", 1829.0 ,"R$ 0,70","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,05","0,13","0,14","0,12","R$ 135.305.467,68","R$ 120,20","0,69",N/A,N/A,N/A,N/A,"0,03",N/A,8
SNFF11,Títulos e Val. Mob.,"R$ 89,67", 3136.0 ,"R$ 0,65","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,06","0,03","0,04","0,11","R$ 235.606.490,70","R$ 94,24","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
BLCP11,Outros,"R$ 88,98", 20.0 ,"R$ 0,52","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,04","0,00","0,01","0,11","R$ 256.624.475,41","R$ 111,76","0,8",N/A,N/A,N/A,N/A,"0,06",N/A,2
CNES11,Lajes Corporativas,"R$ 33,66", 69.0 ,"R$ 0,10","0,00","0,01","0,01","0,04","0,00","0,00","0,00","0,02","0,09","0,10","0,10","R$ 257.399.777,87","R$ 87,28","0,39",N/A,N/A,N/A,N/A,"0,57",N/A,1
FIIB11,Híbrido,"R$ 484,95", 493.0 ,"R$ 3,55","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,05","0,07","0,08","0,10","R$ 312.730.340,17","R$ 456,54","1,06",N/A,N/A,N/A,N/A,"0,06",N/A,1
NAVT11,Títulos e Val. Mob.,"R$ 79,10", 6896.0 ,"R$ 0,85","0,01","0,04","0,07","0,12","0,01","0,01","0,01","0,08","0,02","0,04","0,10","R$ 97.716.626,71","R$ 92,67","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
FCFL11,Outros,"R$ 129,00", 1607.0 ,"R$ 0,87","0,01","0,02","0,04","0,09","0,01","0,01","0,01","0,05","0,05","0,06","0,09","R$ 364.015.453,44","R$ 104,78","1,23",N/A,N/A,N/A,N/A,"0,00",N/A,1
BTAL11,Outros,"R$ 101,00", 12909.0 ,"R$ 0,83","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,06","0,03","0,04","0,08","R$ 636.073.252,98","R$ 106,32","0,95",N/A,N/A,N/A,N/A,N/A,N/A,7
CCRF11,Títulos e Val. Mob.,"R$ 97,00", 13.0 ,"R$ 1,10","0,01","0,04","0,07","0,00","0,01","0,01","0,00","0,09","0,00","0,01","0,08","R$ 152.971.036,88","R$ 97,32",1,N/A,N/A,N/A,N/A,N/A,N/A,0
OUFF11,Títulos e Val. Mob.,"R$ 68,43", 2902.0 ,"R$ 0,75","0,01","0,03","0,07","0,12","0,01","0,01","0,01","0,08","0,03","0,04","0,08","R$ 147.036.238,71","R$ 81,04","0,84",N/A,N/A,N/A,N/A,N/A,N/A,0
MCHY11,Títulos e Val. Mob.,"R$ 109,09", 36.0 ,"R$ 1,40","0,01","0,04","0,08","0,13","0,01","0,01","0,01","0,09","0,01","0,02","0,07","R$ 371.756.272,98","R$ 103,56","1,05",N/A,N/A,N/A,N/A,N/A,N/A,0
MGCR11,Títulos e Val. Mob.,"R$ 89,66", 1756.0 ,"R$ 1,35","0,02","0,04","0,08","0,14","0,01","0,01","0,01","0,09","0,00","0,02","0,07","R$ 129.620.889,28","R$ 91,13","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
AFHI11,Títulos e Val. Mob.,"R$ 98,20", 6472.0 ,"R$ 1,30","0,01","0,04","0,08","0,15","0,01","0,01","0,01","0,09","0,00","0,01","0,07","R$ 287.450.160,21","R$ 95,20","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
EQIR11,Títulos e Val. Mob.,"R$ 93,21", 49.0 ,"R$ 1,10","0,01","0,04","0,07","0,00","0,01","0,01","0,00","0,08","-0,01","0,00","0,06","R$ 49.835.472,58","R$ 99,18","0,94",N/A,N/A,N/A,N/A,N/A,N/A,0
ALZR11,Logística,"R$ 117,31", 13014.0 ,"R$ 0,78","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,05","0,03","0,04","0,06","R$ 741.305.529,88","R$ 111,24","1,05",N/A,N/A,N/A,N/A,"0,00",N/A,15
MORC11,Títulos e Val. Mob.,"R$ 94,14", 3244.0 ,"R$ 1,30","0,01","0,04","0,09","0,00","0,01","0,01","0,00","0,10","-0,02","-0,01","0,06","R$ 127.469.497,93","R$ 98,67","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
CARE11,Híbrido,"R$ 3,97", 2526.0 ,"R$ 0,00","0,00","0,01","0,01","0,02","0,00","0,00","0,00","0,01","-0,03","-0,02","0,06","R$ 292.218.917,16","R$ 8,17","0,49",N/A,N/A,N/A,N/A,N/A,N/A,0
AFOF11,Títulos e Val. Mob.,"R$ 91,60", 768.0 ,"R$ 1,06","0,01","0,04","0,07","0,13","0,01","0,01","0,01","0,08","-0,01","0,00","0,05","R$ 69.465.153,20","R$ 100,50","0,91",N/A,N/A,N/A,N/A,N/A,N/A,0
ARCT11,Híbrido,"R$ 100,97", 15263.0 ,"R$ 1,02","0,01","0,04","0,09","0,17","0,01","0,01","0,01","0,10","-0,05","-0,04","0,03","R$ 370.887.371,89","R$ 100,02","1,01",N/A,N/A,N/A,N/A,N/A,N/A,4
BTRA11,Outros,"R$ 88,26", 7803.0 ,"R$ 0,70","0,01","0,02","0,05","0,10","0,01","0,01","0,01","0,06","0,17","0,18","0,02","R$ 350.107.569,75","R$ 104,06","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
OURE11,Títulos e Val. Mob.,"R$ 83,41", 1143.0 ,"R$ 1,15","0,01","0,04","0,07","0,14","0,01","0,01","0,01","0,08","0,00","0,02","0,02","R$ 99.888.890,89","R$ 92,74","0,9",N/A,N/A,N/A,N/A,N/A,N/A,0
BPML11,Shoppings,"R$ 65,02", 82.0 ,"R$ 0,15","0,00","0,01","0,03","0,00","0,00","0,00","0,00","0,01","-0,07","-0,07","0,02","R$ 536.943.743,35","R$ 124,72","0,52",N/A,N/A,N/A,N/A,"0,06",N/A,7
BZLI11,Títulos e Val. Mob.,"R$ 17,00", 1.0 ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","R$ 440.205.505,76","R$ 10,78","1,58",N/A,N/A,N/A,N/A,N/A,N/A,0
SRVD11,Títulos e Val. Mob.,"R$ 7,22", 37.0 ,"R$ 0,10","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01","R$ 71.653.252,73","R$ 0,74","9,7",N/A,N/A,N/A,N/A,N/A,N/A,0
WTSP11B,Híbrido,"R$ 39,01", 567.0 ,"R$ 0,32","0,01","0,03","0,05","0,07","0,01","0,01","0,01","0,01","0,00","0,01","0,01","R$ 82.488.951,36","R$ 83,11","0,47",N/A,N/A,N/A,N/A,N/A,N/A,0
QAGR11,Outros,"R$ 46,86", 6247.0 ,"R$ 0,41","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,06","0,04","0,05","0,00","R$ 281.594.287,60","R$ 55,87","0,84",N/A,N/A,N/A,N/A,N/A,N/A,12
GSFI11,Shoppings,"R$ 4,61", 470.0 ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","R$ 1.008.886.224,64","R$ 13,42","0,34",N/A,N/A,N/A,N/A,"0,10",N/A,10
FISC11,Lajes Corporativas,"R$ 165,00", 200.0 ,"R$ 0,22","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 196.478.286,31","R$ 115,58","1,43",N/A,N/A,N/A,N/A,N/A,N/A,0
FIVN11,Shoppings,"R$ 3,55", 32789.0 ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 65.491.905,42","R$ 6,96","0,51",N/A,N/A,N/A,N/A,"0,56",N/A,1
GESE11B,Outros,"R$ 1.520,00", 300.0 ,"R$ 12,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 86.540.717,02","R$ 1.664,24","0,91",N/A,N/A,N/A,N/A,N/A,N/A,0
HGRS11,Residencial,N/A, N/A ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 151.283.672,82","R$ 101,33",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KNRE11,Residencial,"R$ 0,95", 434.0 ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","R$ 21.412.067,51","R$ 1,15","0,82",N/A,N/A,N/A,N/A,N/A,N/A,0
RBDS11,Residencial,"R$ 3,51", 1466.0 ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","R$ 2.605.642,65","R$ 20,59","0,17",N/A,N/A,N/A,N/A,N/A,N/A,0
RBIR11,Residencial,"R$ 69,18", 1325.0 ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","R$ 146.773.544,10","R$ 96,02","0,72",N/A,N/A,N/A,N/A,N/A,N/A,0
VJFD11,Híbrido,N/A, N/A ,"R$ 0,86","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 646.971.334,45","R$ 132,68",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MORE11,Títulos e Val. Mob.,"R$ 75,00", 8991.0 ,"R$ 0,65","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,07","0,07","0,08","-0,02","R$ 204.459.833,97","R$ 88,16","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
BLCA11,Lajes Corporativas,"R$ 90,00", 21.0 ,"R$ 0,56","0,01","0,02","0,03","0,00","0,01","0,01","0,00","0,04","0,00","0,01","-0,03","R$ 141.208.224,29","R$ 88,26","1,02",N/A,N/A,N/A,N/A,"0,00",N/A,1
OULG11,Outros,"R$ 46,15", 1453.0 ,"R$ 0,17","0,00","0,01","0,03","0,08","0,00","0,01","0,01","0,02","0,03","0,03","-0,04","R$ 180.805.973,24","R$ 72,87","0,63",N/A,N/A,N/A,N/A,"0,00",N/A,2
BLMC11,Outros,"R$ 86,00", 44.0 ,"R$ 1,17","0,01","0,04","0,08","0,14","0,01","0,01","0,01","0,09","-0,02","0,00","-0,05","R$ 39.132.486,17","R$ 97,95","0,88",N/A,N/A,N/A,N/A,N/A,N/A,0
DRIT11B,Lajes Corporativas,"R$ 98,90", 26.0 ,"R$ 0,33","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,01","0,06","0,06","-0,07","R$ 58.337.901,67","R$ 125,92","0,79",N/A,N/A,N/A,N/A,"0,10",N/A,6
PRSV11,Lajes Corporativas,"R$ 113,49", 1.0 ,"R$ 1,62","0,00","0,02","0,03","0,06","0,01","0,00","0,01","0,04","0,05","0,06","-0,11","R$ 47.622.008,57","R$ 244,22","0,46",N/A,N/A,N/A,N/A,"0,41",N/A,2
XPIN11,Outros,"R$ 81,99", 7124.0 ,"R$ 0,61","0,01","0,03","0,05","0,09","0,01","0,01","0,01","0,05","0,00","0,01","-0,12","R$ 768.043.694,07","R$ 107,41","0,76",N/A,N/A,N/A,N/A,"0,17","0,12",5
HCRI11,Hospital,"R$ 244,00", 250.0 ,"R$ 2,49","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,02","-0,18","-0,17","-0,17","R$ 59.962.597,07","R$ 299,81","0,81",N/A,N/A,N/A,N/A,"0,00",N/A,1
RECX11,Outros,"R$ 76,85", 23.0 ,"R$ 0,80","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,07","-0,08","-0,07","-0,19","R$ 17.976.650,17","R$ 82,34","0,93",N/A,N/A,N/A,N/A,N/A,N/A,0
ALMI11,Lajes Corporativas,"R$ 907,00", 44.0 ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,02","-0,28","R$ 250.158.727,48","R$ 2.250,09","0,4",N/A,N/A,N/A,N/A,"0,64",N/A,1
NEWU11,Lajes Corporativas,"R$ 35,00", 833.0 ,"R$ 0,00","0,00","0,00","0,01","0,17","0,00","0,00","0,01","0,01","-0,04","-0,04","-0,32","R$ 48.123.818,78","R$ 64,86","0,54",N/A,N/A,N/A,N/A,"0,63",N/A,3
PABY11,Híbrido,"R$ 8,25", 9.0 ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-0,20","-0,20","-0,32","R$ -10.950.151,50","R$ -14,44","-0,57",N/A,N/A,N/A,N/A,N/A,N/A,1
HTMX11,Hotel,"R$ 115,75", 2291.0 ,"R$ 0,00","0,00","0,01","0,02","0,05","0,00","0,00","0,00","0,01","-0,28","-0,28","-0,32","R$ 164.192.001,82","R$ 130,62","0,89",N/A,N/A,N/A,N/A,"0,65",N/A,23
XTED11,Lajes Corporativas,"R$ 7,28", 647.0 ,"R$ 0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","-0,38","R$ 27.085.416,91","R$ 13,78","0,53",N/A,N/A,N/A,N/A,"0,00","1,00",1
CTXT11,Lajes Corporativas,"R$ 12,61", 81.0 ,"R$ 0,09","0,00","0,01","0,01","0,06","0,00","0,00","0,00","0,01","-0,03","-0,02","-0,39","R$ 115.874.720,49","R$ 39,92","0,32",N/A,N/A,N/A,N/A,"0,97",N/A,1
FAMB11B,Lajes Corporativas,"R$ 792,00", 12.0 ,"R$ 9,16","0,01","0,02","0,05","0,10","0,01","0,01","0,01","0,09","-0,48","-0,48","-0,48","R$ 320.093.073,43","R$ 3.054,32","0,26",N/A,N/A,N/A,N/A,"1,00",N/A,1
CJCT11,Lajes Corporativas,"R$ 82,99", 7575.0 ,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 231.360.831,28","R$ 80,61","1,03",N/A,N/A,N/A,N/A,"0,59",N/A,1
FMOF11,Lajes Corporativas,"R$ 61,80", 5.0 ,"R$ 0,64",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 62.339.721,97","R$ 122,71","0,5",N/A,N/A,N/A,N/A,"0,52",N/A,1
HRDF11,Híbrido,"R$ 1,06", 120.0 ,"R$ 6,80",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 8.722.671,42","R$ 1,15","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
LFTT11,Residencial,"R$ 87,97", 6.0 ,"R$ 0,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 394.603.196,49","R$ 53,29","1,65",N/A,N/A,N/A,N/A,N/A,N/A,0
ORPD11,Títulos e Val. Mob.,"R$ 93,00", 3.0 ,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 43.238.325,61","R$ 149,10","0,62",N/A,N/A,N/A,N/A,N/A,N/A,0
VXXV11,Outros,"R$ 917,00", 8830.0 ,"R$ 10,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 231.483.050,85","R$ 876,17","1,05",N/A,N/A,N/A,N/A,N/A,N/A,0
